video_id,title,publish_date,viewCount,likeCount,dislikeCount,commentCount,subject,link
fXjfvEcAV6w,Gary Burton: NPR Music Tiny Desk Concert,2013-11-11,289424,3422,25,172,Gary Burton:,https://www.youtube.com/watch?v=fXjfvEcAV6w
118zckalkJ0,Tom Jones: NPR Music Tiny Desk Concert,2009-03-02,286978,1656,33,191,Tom Jones:,https://www.youtube.com/watch?v=118zckalkJ0
heFRwLfjVXI,Dan Deacon: NPR Music Tiny Desk Concert,2015-02-26,284845,3270,82,408,Dan Deacon:,https://www.youtube.com/watch?v=heFRwLfjVXI
D0E5vMkDfOI,Big Thief: NPR Music Tiny Desk Concert,2016-09-06,273544,3040,79,218,Big Thief:,https://www.youtube.com/watch?v=D0E5vMkDfOI
l0f6KGsrt-4,Johnnyswim: NPR Music Tiny Desk Concert,2014-04-28,271705,3119,33,189,Johnnyswim:,https://www.youtube.com/watch?v=l0f6KGsrt-4
cBNTDlI1-nQ,Hilary Hahn: NPR Music Tiny Desk Concert,2011-10-24,269068,2501,22,287,Hilary Hahn:,https://www.youtube.com/watch?v=cBNTDlI1-nQ
qQ4PZVj66ac,Watkins Family Hour: NPR Music Tiny Desk Concert,2015-09-18,255860,2237,36,188,Watkins Family Hour:,https://www.youtube.com/watch?v=qQ4PZVj66ac
mTu4cXW9H_Q,Lucinda Williams: NPR Music Tiny Desk Concert,2014-12-22,255159,1416,37,166,Lucinda Williams:,https://www.youtube.com/watch?v=mTu4cXW9H_Q
15IHNYq6stw,Chick Corea & Gary Burton: Tiny Desk Concert,2016-06-13,246489,5065,28,292,Chick Corea & Gary Burton,https://www.youtube.com/watch?v=15IHNYq6stw
eT5DJ33-Fbg,Laura Mvula: NPR Music Tiny Desk Concert,2013-07-08,244416,3243,21,188,Laura Mvula:,https://www.youtube.com/watch?v=eT5DJ33-Fbg
FwRcPEg1MyE,Neko Case: NPR Music Tiny Desk Concert,2013-11-01,239913,1655,32,92,Neko Case:,https://www.youtube.com/watch?v=FwRcPEg1MyE
Ea43VkCiyFo,Declan McKenna: NPR Music Tiny Desk Concert,2017-01-10,237712,6720,121,393,Declan McKenna:,https://www.youtube.com/watch?v=Ea43VkCiyFo
CEayGhxI0gk,Monika: NPR Music Tiny Desk Concert,2016-05-06,233600,3596,194,233,Monika:,https://www.youtube.com/watch?v=CEayGhxI0gk
1djpZqRRA7U,Tegan And Sara: NPR Music Tiny Desk Concert,2016-11-28,232174,3733,93,186,Tegan And Sara:,https://www.youtube.com/watch?v=1djpZqRRA7U
0MYcKEi8zZs,Esmé Patterson: NPR Music Tiny Desk Concert,2017-02-17,225340,4779,115,283,Esmé Patterson:,https://www.youtube.com/watch?v=0MYcKEi8zZs
iH7j8ZzW8QY,Tweedy: NPR Music Tiny Desk Concert,2014-09-22,223604,1514,19,150,Tweedy:,https://www.youtube.com/watch?v=iH7j8ZzW8QY
nDdO60XcqPQ,Typhoon: NPR Music Tiny Desk Concert,2013-10-29,218837,2197,38,107,Typhoon:,https://www.youtube.com/watch?v=nDdO60XcqPQ
xCmcvsCxfng,Rufus Wainwright: NPR Music Tiny Desk Concert,2012-10-09,217700,1569,26,113,Rufus Wainwright:,https://www.youtube.com/watch?v=xCmcvsCxfng
nYN2SDjnNW8,Wolf Alice: NPR Music Tiny Desk Concert,2016-01-25,213089,3228,38,190,Wolf Alice:,https://www.youtube.com/watch?v=nYN2SDjnNW8
2K9gjhbT7xs,San Fermin: NPR Music Tiny Desk Concert,2013-10-29,209408,1514,43,134,San Fermin:,https://www.youtube.com/watch?v=2K9gjhbT7xs
Jtx7q7_IUXc,First Aid Kit: NPR Music Tiny Desk Concert,2012-04-02,208748,1937,24,100,First Aid Kit:,https://www.youtube.com/watch?v=Jtx7q7_IUXc
EwRHWqlRFy4,YACHT: NPR Music Tiny Desk Concert,2011-06-22,205061,1602,176,408,YACHT:,https://www.youtube.com/watch?v=EwRHWqlRFy4
GTXqKSMv8Lc,Graham Nash: NPR Music Tiny Desk Concert,2016-03-14,203151,1913,24,156,Graham Nash:,https://www.youtube.com/watch?v=GTXqKSMv8Lc
yxteG1thK5I,Pat Benatar & Neil Giraldo: NPR Music Tiny Desk Concert,2014-11-25,196506,1269,49,114,Pat Benatar & Neil Giraldo:,https://www.youtube.com/watch?v=yxteG1thK5I
jiNvJKF-pks,Chelsea Wolfe: NPR Music Tiny Desk Concert,2016-02-12,194092,3071,86,268,Chelsea Wolfe:,https://www.youtube.com/watch?v=jiNvJKF-pks
lnOHHywkTCs,Justin Townes Earle: NPR Music Tiny Desk Concert,2014-09-08,188576,853,32,79,Justin Townes Earle:,https://www.youtube.com/watch?v=lnOHHywkTCs
Iyzf1EKNyno,River Whyless: NPR Music Tiny Desk Concert,2016-01-19,186447,2225,37,123,River Whyless:,https://www.youtube.com/watch?v=Iyzf1EKNyno
7R35_SvWFKY,Son Lux: NPR Music Tiny Desk Concert,2015-08-21,158419,2390,78,168,Son Lux:,https://www.youtube.com/watch?v=7R35_SvWFKY
iFGnkbZ3fLE,Hop Along: NPR Music Tiny Desk Concert,2015-06-22,153498,1677,70,109,Hop Along:,https://www.youtube.com/watch?v=iFGnkbZ3fLE
FA1TsteS7z0,Beach Slang: NPR Music Tiny Desk Concert,2015-04-10,147117,1184,54,89,Beach Slang:,https://www.youtube.com/watch?v=FA1TsteS7z0
ubSZKWXyu04,J Mascis: NPR Music Tiny Desk Concert,2014-11-24,146779,1241,70,197,J Mascis:,https://www.youtube.com/watch?v=ubSZKWXyu04
Zw7DfFVga5Y,Mucca Pazza: NPR Music Tiny Desk Concert,2015-02-10,142877,1882,26,137,Mucca Pazza:,https://www.youtube.com/watch?v=Zw7DfFVga5Y
